DocID, Doc, Len
0, file1.txt, 1079
1, file10.txt, 1851
2, file100.txt, 1129
3, file101.txt, 3478
4, file102.txt, 6112
5, file103.txt, 8279
6, file104.txt, 14427
7, file105.txt, 6086
8, file106.txt, 1643
9, file107.txt, 2093
10, file108.txt, 564
11, file109.txt, 5398
12, file11.txt, 8448
13, file110.txt, 8966
14, file111.txt, 418
15, file112.txt, 1160
16, file113.txt, 499
17, file114.txt, 656
18, file115.txt, 2585
19, file116.txt, 13952
20, file117.txt, 21087
21, file118.txt, 13546
22, file119.txt, 1678
23, file12.txt, 652
24, file120.txt, 1770
25, file121.txt, 2817
26, file122.txt, 7842
27, file123.txt, 769
28, file124.txt, 4495
29, file125.txt, 9584
30, file126.txt, 1319
31, file127.txt, 17134
32, file128.txt, 17332
33, file129.txt, 3202
34, file13.txt, 7657
35, file130.txt, 3511
36, file131.txt, 15629
37, file132.txt, 34203
38, file133.txt, 2516
39, file134.txt, 689
40, file135.txt, 5854
41, file136.txt, 5332
42, file137.txt, 27315
43, file138.txt, 9404
44, file139.txt, 675
45, file14.txt, 3284
46, file140.txt, 479
47, file141.txt, 1719
48, file142.txt, 4229
49, file143.txt, 2150
50, file144.txt, 25513
51, file145.txt, 15420
52, file146.txt, 2146
53, file147.txt, 8740
54, file148.txt, 11412
55, file149.txt, 7831
56, file15.txt, 2016
57, file150.txt, 8462
58, file151.txt, 1649
