TermID, Term, Freq
0, concept, 11
1, DeutschEspa, 4
2, similarity, 2
3, founded, 25
4, Theme, 2
5, edu, 11
6, query, 3
7, contributions, 6
8, Foundation, 59
9, inverse, 1
10, LCCN, 24
11, pagesPermanent, 59
12, father, 28
13, Award, 5
14, accounting, 3
15, to, 59
16, under, 59
17, Not, 59
18, researchersHidden, 1
19, wikipedia, 59
20, 108172047, 1
21, Automatic, 1
22, categories, 58
23, presented, 12
24, joined, 22
25, p, 44
26, vector, 3
27, Text, 59
28, Gerard_Salton, 1
29, n50015272, 1
30, Dubin, 1
31, the, 59
32, Bibliography, 12
33, Howard, 7
34, Sparck, 1
35, 170160424, 1
36, 1126, 2
37, ais, 15
38, Interest, 5
39, ShareAlike, 59
40, index, 59
41, what, 30
42, version, 59
43, public, 35
44, Categories, 59
45, edited, 59
46, centric, 1
47, degree, 13
48, K, 31
49, Documentation, 3
50, Contact, 59
51, oldid, 59
52, represented, 12
53, Attribution, 59
54, search, 59
55, study, 16
56, vectors, 1
57, Born, 15
58, published, 22
59, Inc, 59
60, navigation, 59
61, Group, 11
62, Privacy, 59
63, 0930, 1
64, chaired, 1
65, Languages, 59
66, apply, 59
67, counts, 4
68, tools, 59
69, from, 59
70, August, 46
71, working, 20
72, 0, 36
73, two, 46
74, 00455212, 1
75, https, 59
76, 6, 52
77, until, 47
78, Died, 13
79, bookDownload, 59
80, Lane, 5
81, initiated, 11
82, Sp, 2
83, BNF, 22
84, American, 30
85, known, 40
86, 1995, 21
87, 1994, 22
88, this, 59
89, science, 15
90, originally, 17
91, Library, 23
92, Down, 2
93, believed, 18
94, PMID, 5
95, history, 59
96, control, 43
97, links, 59
98, cited, 8
99, Readable, 1
100, births1995, 1
101, metamorphosis, 1
102, Policy, 59
103, information, 23
104, Terms, 59
105, Journal, 18
106, PDFPrintable, 59
107, 1, 56
108, McGill, 2
109, A, 44
110, intended, 20
111, License, 59
112, Influential, 5
113, 613, 1
114, List, 25
