DocID, Doc, Len
0, file1.txt, 1074
1, file10.txt, 1837
2, file100.txt, 1126
3, file101.txt, 3460
4, file102.txt, 6080
5, file103.txt, 8226
6, file104.txt, 14345
7, file105.txt, 6063
8, file106.txt, 1635
9, file107.txt, 2088
10, file108.txt, 562
11, file109.txt, 5384
12, file11.txt, 8424
13, file110.txt, 8937
14, file111.txt, 418
15, file112.txt, 1154
16, file113.txt, 499
17, file114.txt, 656
18, file115.txt, 2577
19, file116.txt, 13894
20, file117.txt, 20979
21, file118.txt, 13457
22, file119.txt, 1674
23, file12.txt, 652
24, file120.txt, 1768
25, file121.txt, 2808
26, file122.txt, 7817
27, file123.txt, 766
28, file124.txt, 4462
29, file125.txt, 9519
30, file126.txt, 1318
31, file127.txt, 17061
32, file128.txt, 17209
33, file129.txt, 3185
34, file13.txt, 7623
35, file130.txt, 3494
36, file131.txt, 15579
37, file132.txt, 33972
38, file133.txt, 2511
39, file134.txt, 686
40, file135.txt, 5806
41, file136.txt, 5323
42, file137.txt, 27122
43, file138.txt, 9359
44, file139.txt, 675
45, file14.txt, 3267
46, file140.txt, 479
47, file141.txt, 1718
48, file142.txt, 4222
49, file143.txt, 2139
50, file144.txt, 25398
51, file145.txt, 15320
52, file146.txt, 2135
53, file147.txt, 8680
54, file148.txt, 11355
55, file149.txt, 7766
56, file15.txt, 2015
57, file150.txt, 8399
58, file151.txt, 1645
59, file152.txt, 7498
