TermID, Term, Freq
0, concept, 12
1, DeutschEspa, 4
2, similarity, 2
3, founded, 25
4, Theme, 2
5, edu, 11
6, query, 3
7, contributions, 6
8, Aiken's, 1
9, inverse, 1
10, LCCN, 24
11, pagesPermanent, 60
12, father, 23
13, Award, 5
14, accounting, 3
15, to, 60
16, under, 60
17, Not, 60
18, researchersHidden, 1
19, wikipedia, 60
20, 108172047, 1
21, Automatic, 1
22, categories, 59
23, presented, 12
24, joined, 22
25, p, 45
26, vector, 3
27, Text, 60
28, Gerard_Salton, 1
29, n50015272, 1
30, Dubin, 1
31, the, 60
32, Bibliography, 12
33, Howard, 7
34, Sparck, 1
35, 170160424, 1
36, 1126, 2
37, ais, 15
38, Interest, 5
39, ShareAlike, 60
40, index, 60
41, what, 31
42, version, 60
43, public, 36
44, Categories, 60
45, edited, 60
46, centric, 1
47, degree, 14
48, Foundation, 60
49, K, 32
50, Documentation, 3
51, Contact, 60
52, oldid, 60
53, represented, 12
54, Attribution, 60
55, search, 60
56, study, 16
57, vectors, 1
58, Born, 15
59, published, 23
60, Inc, 60
61, navigation, 60
62, Group, 11
63, Privacy, 60
64, 0930, 1
65, chaired, 1
66, Languages, 60
67, Salton's, 1
68, apply, 60
69, counts, 4
70, tools, 60
71, from, 60
72, August, 47
73, working, 20
74, 0, 37
75, two, 47
76, 00455212, 1
77, https, 60
78, 6, 53
79, until, 48
80, Died, 13
81, bookDownload, 60
82, Lane, 5
83, initiated, 12
84, Sp, 2
85, BNF, 22
86, American, 31
87, known, 40
88, 1995, 21
89, 1994, 22
90, this, 60
91, science, 15
92, originally, 17
93, Library, 24
94, Down, 2
95, believed, 18
96, PMID, 5
97, history, 60
98, control, 44
99, links, 60
100, cited, 8
101, Readable, 1
102, births1995, 1
103, metamorphosis, 1
104, Policy, 60
105, information, 23
106, Terms, 60
107, Journal, 18
108, PDFPrintable, 60
109, 1, 57
110, McGill, 2
111, A, 45
112, intended, 21
113, License, 60
114, Influential, 5
115, 613, 1
116, List, 25
117, Model, 4
118, data, 24
119, SMART, 2
120, View, 60
121, summarization, 1
122, Aiken, 2
123, SUDOC, 18
124, Texts, 10
125, chief, 20
126, encyclopedia, 60
127, Identities, 25
128, divided, 23
129, What, 60
130, Master's, 2
131, developed, 26
132, hypertext, 1
133, logged, 60
134, years, 44
135, scientist, 5
136, during, 42
137, Developers, 60
138, its, 48
139, Addison, 2
140, His, 32
141, group, 22
142, Scientific, 7
143, Transactions, 4
144, 28, 34
145, actually, 16
146, WorldCat, 23
147, Wesley, 2
148, Personal, 60
149, 2015, 28
150, 2017, 55
151, retrieval, 4
152, 2013, 29
153, accountLog, 60
154, fileSpecial, 60
155, non, 60
156, combination, 14
157, Mobile, 60
158, Michael, 31
159, Analysis, 10
160, 1950, 8
161, 1952, 7
162, not, 50
163, Gerhard, 11
164, now, 42
165, 1958, 8
166, articles, 57
167, term, 21
168, edit, 51
169, SNAC, 6
170, Authority, 38
171, en, 60
172, From, 60
173, may, 60
174, generation, 8
175, ISNI, 16
176, frequency, 4
177, measure, 8
178, Print, 60
179, out, 42
180, space, 12
181, profit, 60
182, research, 17
183, 81100649307, 1
184, Namespaces, 60
185, Article, 60
186, occurs, 2
187, G, 37
188, associate, 4
189, This, 60
190, University, 41
191, Indonesia, 13
192, Summarization, 1
193, free, 60
194, advisor, 3
195, org, 60
196, additional, 60
197, Jump, 60
198, MGP, 1
199, w, 60
200, Fran, 32
201, first, 48
202, 620, 4
203, revenue, 6
204, Fractals, 1
205, number, 37
206, Creative, 60
207, specificity, 1
208, WikipediaCommunity, 60
209, given, 33
210, Sahlmann, 1
211, leading, 28
212, system, 29
213, WikipediaWikipedia, 60
214, 2, 56
215, statement, 60
216, Association, 15
217, a, 60
218, Search, 60
219, that, 51
220, taught, 12
221, review, 11
222, PDF, 17
223, Wrote, 1
224, 11, 50
225, 10, 50
226, 13, 50
227, b, 37
228, 14, 46
229, 17, 45
230, 18, 44
231, Allan, 1
232, 12227, 1
233, See, 46
234, References, 50
235, store, 60
236, historical, 18
237, other, 53
238, scientistsHarvard, 1
239, and, 60
240, Information, 12
241, Doctoral, 2
242, 17838425, 1
243, eventsRandom, 60
244, outstanding, 9
245, Anton, 18
246, modern, 26
247, Machine, 11
248, mater, 2
249, aged, 13
250, documents, 6
251, 1968, 12
252, 1965, 8
253, also, 51
254, Germany, 48
255, which, 54
256, Jones, 6
257, Articles, 32
258, Communications, 6
259, Wong, 1
260, cb12374122z, 1
261, device, 1
262, Buckley, 1
263, pages, 11
264, pageContentsFeatured, 60
265, doi, 18
266, Wikimedia, 60
267, later, 45
268, Merit, 2
269, Fellow, 2
270, hereRelated, 60
271, points, 14
272, changesUpload, 60
273, Its, 20
274, 8253, 1
275, 1145, 3
276, text, 32
277, Systems, 5
278, Bachelor's, 1
279, ratio, 2
280, title, 60
281, menu, 60
282, Harvard, 13
283, 8, 49
284, over, 50
285, Applied, 5
286, his, 52
287, founding, 10
288, portalRecent, 60
289, Amit, 2
290, Institutions, 4
291, paper, 5
292, queries, 2
293, automatic, 3
294, view, 60
295, Create, 60
296, Wikipedia, 60
297, articleDonate, 60
298, elected, 24
299, computer, 9
300, are, 41
301, 361219, 1
302, 1927, 10
303, Ph, 5
304, 03, 17
305, 07, 16
306, 08, 16
307, 09, 21
308, Indexing, 1
309, 3, 56
310, score, 2
311, between, 49
312, probably, 14
313, neither, 11
314, eb026526, 1
315, Professor, 8
316, available, 60
317, C, 28
318, terms, 60
319, Disclaimers, 60
320, Server, 1
321, S, 35
322, Vector, 1
323, March, 42
324, Retrieval, 3
325, 21, 42
326, both, 43
327, last, 60
328, DBLP, 2
329, career, 17
330, Views, 60
331, agree, 60
332, Karen, 3
333, Computer, 4
334, Statistical, 4
335, Specificity, 1
336, Contents, 53
337, co, 21
338, linkPage, 60
339, explanatory, 2
340, DL, 1
341, community, 16
342, facultyCornell, 1
343, 68, 22
344, ISBN, 42
345, 1421, 5
346, 1426, 4
347, addition, 20
348, discrimination, 2
349, Processing, 3
350, trademark, 60
351, been, 47
352, Most, 21
353, Brooklyn, 2
354, cosine, 2
355, Known, 8
356, life, 29
357, 0000, 16
358, 0001, 14
359, received, 29
360, policy, 60
361, Yang, 1
362, Bahasa, 18
363, itemCite, 60
364, an, 54
365, Navigation, 60
366, FellowsInformation, 1
367, developing, 8
368, value, 11
369, College, 11
370, Cs, 1
371, TDV, 1
372, 1108, 2
373, 30, 49
374, vol, 13
375, is, 60
376, site, 60
377, GND, 34
378, in, 60
379, Salton, 3
380, Singhal, 2
381, Organization, 10
382, inTalkContributionsCreate, 60
383, Main, 60
384, perhaps, 12
385, Retrieved, 60
386, s, 43
387, member, 25
388, became, 48
389, widely, 21
390, Variants, 60
391, document, 10
392, cs, 5
393, About, 60
394, used, 38
395, Alma, 2
396, indexing, 1
397, IR, 2
398, alumniHarvard, 1
399, 361220, 1
400, pioneers, 4
401, php, 60
402, ID, 6
403, 1975, 11
404, identifiers, 33
405, well, 40
406, 1972, 14
407, analysis, 10
408, Trends, 4
409, oft, 1
410, In, 58
411, organization, 60
412, model, 17
413, Tools, 60
414, Memoriam, 1
415, 264, 7
416, doctoral, 3
417, Theory, 7
418, identifiersWikipedia, 26
419, cornell, 1
420, Company, 24
421, had, 52
422, GerardSalton, 1
423, SIGIR, 1
424, 4, 56
425, By, 60
426, Change, 4
427, Nuremberg, 30
428, changesContact, 60
429, D, 34
430, Commons, 60
431, department, 9
432, Gerard, 5
433, using, 60
434, recipient, 4
435, you, 60
436, Talk, 60
437, Computing, 3
438, 56, 23
439, serves, 4
440, MachineryGuggenheim, 1
441, Thesis, 4
442, 530, 2
443, page, 60
444, mathematical, 3
445, 201, 10
446, System, 12
447, born, 26
448, export, 60
449, for, 56
450, 13306, 1
451, Edit, 60
452, does, 18
453, External, 43
454, 054484, 1
455, He, 35
456, Term, 4
457, Interaction, 60
458, processing, 2
459, David, 26
460, 032778007, 1
461, refers, 5
462, by, 60
463, on, 60
464, ol, 5
465, most, 42
466, Generation, 3
467, of, 60
468, acm, 2
469, Paper, 3
470, w6d52dft, 1
471, introduced, 22
472, or, 52
